Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
Lenovo,Gaming,15.6,4K,Apple M2,32,1TB SSD,Intel Iris,Windows 11,2.28,100056
MSI,Workstation,13.3,Full HD,Apple M1,8,1TB SSD,Intel Iris,Windows 11,1.87,82196
Apple,Gaming,16.0,Retina,Apple M2,16,512GB SSD,Nvidia RTX 3050,macOS,2.16,169493
MSI,Workstation,14.0,4K,Apple M1,8,1TB SSD,Nvidia RTX 3050,macOS,1.62,119329
HP,Notebook,16.0,Retina,Apple M1,16,256GB SSD,Nvidia RTX 3050,macOS,2.32,120405
Dell,Workstation,15.6,Full HD,AMD Ryzen 7,32,512GB SSD,Intel UHD,Windows 11,1.93,70725
HP,Ultrabook,13.3,Full HD,Intel Core i5,16,1TB SSD,Nvidia RTX 3050,Windows 11,2.18,95998
Apple,Workstation,16.0,4K,AMD Ryzen 7,16,512GB SSD,Intel UHD,macOS,1.21,134856
Apple,Workstation,15.6,4K,Intel Core i5,32,1TB SSD,AMD Radeon,macOS,2.04,133956
Dell,Gaming,16.0,4K,AMD Ryzen 5,16,1TB SSD,Intel Iris,Windows 10,1.81,66241
Apple,Gaming,14.0,Retina,AMD Ryzen 7,32,512GB SSD,Intel UHD,macOS,1.98,135953
Acer,Workstation,16.0,4K,AMD Ryzen 5,32,1TB SSD,Nvidia RTX 3050,Linux,2.12,90112
Apple,Workstation,16.0,Full HD,Intel Core i7,32,1TB SSD,AMD Radeon,macOS,2.27,153243
Lenovo,Gaming,16.0,Full HD,AMD Ryzen 7,32,512GB SSD,Intel UHD,macOS,2.16,78975
Acer,Ultrabook,13.3,Retina,Intel Core i7,8,256GB SSD,Nvidia GTX 1650,Windows 11,1.82,64229
Apple,Notebook,15.6,4K,Apple M1,32,1TB SSD,Intel Iris,macOS,1.77,158641
Lenovo,Workstation,16.0,Retina,AMD Ryzen 5,8,1TB SSD,AMD Radeon,Windows 11,1.5,56811
Acer,Ultrabook,16.0,4K,Apple M1,16,512GB SSD,Nvidia RTX 3050,Windows 10,1.54,121134
Asus,Workstation,16.0,4K,Intel Core i7,32,512GB SSD,Nvidia GTX 1650,Windows 11,1.61,76216
Apple,Notebook,15.6,Retina,AMD Ryzen 5,16,256GB SSD,AMD Radeon,macOS,1.94,107012
Lenovo,Workstation,13.3,4K,AMD Ryzen 7,32,1TB SSD,Intel Iris,Windows 11,2.31,87063
Dell,Ultrabook,15.6,Retina,AMD Ryzen 5,16,256GB SSD,Intel Iris,macOS,1.53,49407
Asus,Ultrabook,15.6,4K,Intel Core i7,16,512GB SSD,Nvidia RTX 3050,macOS,2.38,99041
Acer,Ultrabook,13.3,Retina,AMD Ryzen 5,32,1TB SSD,Nvidia GTX 1650,Windows 10,2.48,60505
Asus,Ultrabook,15.6,Retina,Apple M2,16,1TB SSD,Nvidia GTX 1650,Windows 10,1.7,107748
Asus,Workstation,14.0,Full HD,AMD Ryzen 5,8,256GB SSD,Nvidia GTX 1650,macOS,1.74,38264
HP,Workstation,14.0,Retina,AMD Ryzen 7,16,512GB SSD,Nvidia GTX 1650,Windows 11,2.46,74772
HP,Notebook,13.3,4K,AMD Ryzen 5,32,512GB SSD,Intel UHD,Windows 11,1.94,52029
Apple,Ultrabook,13.3,4K,Intel Core i5,32,512GB SSD,AMD Radeon,macOS,1.77,113564
Lenovo,Ultrabook,13.3,4K,Apple M2,8,256GB SSD,Nvidia GTX 1650,Linux,2.35,67618
Lenovo,Gaming,13.3,Retina,AMD Ryzen 7,32,512GB SSD,Intel Iris,macOS,1.4,67985
MSI,Workstation,15.6,4K,AMD Ryzen 5,16,512GB SSD,Nvidia GTX 1650,macOS,1.65,59606
MSI,Ultrabook,16.0,Full HD,Intel Core i7,32,512GB SSD,Nvidia GTX 1650,macOS,1.65,78484
Lenovo,Ultrabook,14.0,Retina,Apple M2,16,1TB SSD,Intel Iris,Linux,2.16,101846
Asus,Workstation,13.3,Retina,Intel Core i5,32,512GB SSD,Nvidia RTX 3050,Linux,1.62,77863
Asus,Notebook,14.0,4K,Intel Core i5,8,1TB SSD,Intel Iris,Windows 10,1.8,48205
Asus,Gaming,16.0,Retina,Apple M1,32,1TB SSD,AMD Radeon,macOS,2.06,105337
HP,Gaming,16.0,4K,Apple M1,8,256GB SSD,AMD Radeon,Windows 11,2.13,78302
Apple,Ultrabook,14.0,Full HD,Apple M1,8,512GB SSD,Intel UHD,macOS,1.29,137525
Lenovo,Gaming,14.0,Retina,Apple M1,16,1TB SSD,Nvidia RTX 3050,macOS,1.68,127299
Acer,Notebook,13.3,Full HD,Apple M1,16,512GB SSD,AMD Radeon,Windows 11,1.52,96982
Dell,Gaming,14.0,4K,Intel Core i5,16,1TB SSD,Intel Iris,Windows 10,1.7,69274
Lenovo,Ultrabook,15.6,Retina,Apple M2,8,512GB SSD,AMD Radeon,macOS,1.67,70073
Apple,Gaming,15.6,Retina,Intel Core i7,32,512GB SSD,AMD Radeon,macOS,1.4,132590
MSI,Workstation,16.0,Retina,Intel Core i5,32,512GB SSD,AMD Radeon,macOS,1.82,49012
Dell,Ultrabook,15.6,Retina,Apple M2,16,1TB SSD,Nvidia GTX 1650,Linux,1.93,108650
Dell,Gaming,15.6,Full HD,Intel Core i5,16,1TB SSD,Intel Iris,Linux,1.95,66318
Asus,Gaming,16.0,4K,Intel Core i5,32,512GB SSD,Intel UHD,Linux,2.14,50898
HP,Notebook,15.6,Full HD,Intel Core i7,8,1TB SSD,Nvidia GTX 1650,macOS,2.33,77300
Apple,Ultrabook,16.0,Retina,Intel Core i5,8,1TB SSD,Intel Iris,macOS,1.86,118396
Apple,Ultrabook,14.0,Full HD,Apple M1,16,1TB SSD,Intel UHD,macOS,1.84,161815
HP,Workstation,15.6,4K,Intel Core i7,8,1TB SSD,Intel Iris,Linux,2.13,67694
Acer,Gaming,15.6,Retina,Intel Core i7,8,1TB SSD,Nvidia RTX 3050,Windows 11,1.57,91458
Dell,Gaming,15.6,Full HD,Apple M2,8,512GB SSD,Nvidia RTX 3050,macOS,1.53,94444
Dell,Notebook,14.0,4K,Apple M2,8,512GB SSD,Intel UHD,Windows 10,2.46,82809
Apple,Gaming,16.0,Full HD,Apple M1,32,512GB SSD,AMD Radeon,macOS,1.44,157902
Dell,Gaming,14.0,4K,Apple M2,32,512GB SSD,Intel UHD,Windows 11,2.12,96767
Lenovo,Gaming,13.3,Retina,AMD Ryzen 7,16,512GB SSD,AMD Radeon,Windows 10,1.96,75160
MSI,Ultrabook,14.0,Retina,Apple M2,8,512GB SSD,AMD Radeon,macOS,1.48,82272
HP,Notebook,14.0,Retina,Apple M2,32,1TB SSD,Nvidia RTX 3050,macOS,2.27,132517
Acer,Ultrabook,16.0,Full HD,Intel Core i7,32,256GB SSD,Nvidia RTX 3050,Linux,2.14,96597
Dell,Ultrabook,16.0,4K,AMD Ryzen 5,8,256GB SSD,Intel Iris,Linux,2.0,44828
Lenovo,Gaming,14.0,Retina,Intel Core i7,8,512GB SSD,Nvidia RTX 3050,macOS,1.21,91154
HP,Gaming,15.6,Full HD,Apple M2,8,256GB SSD,Intel Iris,macOS,2.26,69012
Dell,Workstation,14.0,Full HD,AMD Ryzen 7,16,512GB SSD,Nvidia GTX 1650,macOS,2.24,79375
Asus,Gaming,16.0,Retina,AMD Ryzen 7,8,1TB SSD,Nvidia GTX 1650,Windows 10,2.17,76691
HP,Gaming,14.0,4K,AMD Ryzen 7,32,512GB SSD,Nvidia GTX 1650,macOS,2.36,70079
Asus,Workstation,14.0,Full HD,AMD Ryzen 7,32,256GB SSD,Nvidia RTX 3050,macOS,1.73,94683
HP,Gaming,13.3,Retina,AMD Ryzen 5,32,256GB SSD,Intel UHD,Windows 11,1.79,49462
HP,Workstation,16.0,4K,Apple M2,16,256GB SSD,AMD Radeon,Windows 10,2.02,94295
Acer,Workstation,15.6,Full HD,Apple M1,8,256GB SSD,AMD Radeon,Windows 10,1.86,68650
HP,Ultrabook,16.0,4K,AMD Ryzen 5,32,256GB SSD,Intel Iris,Windows 11,2.37,50230
Apple,Notebook,13.3,Full HD,AMD Ryzen 7,8,256GB SSD,AMD Radeon,macOS,1.59,124598
Apple,Ultrabook,16.0,Retina,Intel Core i7,8,1TB SSD,Nvidia GTX 1650,macOS,2.42,138103
Dell,Gaming,16.0,Retina,Intel Core i7,8,256GB SSD,Nvidia GTX 1650,Windows 10,2.3,59216
Apple,Gaming,16.0,4K,AMD Ryzen 5,32,1TB SSD,AMD Radeon,macOS,2.3,133886
Lenovo,Workstation,14.0,4K,Intel Core i5,16,512GB SSD,Intel Iris,Windows 10,2.3,51824
Lenovo,Ultrabook,15.6,Full HD,AMD Ryzen 7,32,256GB SSD,Intel UHD,macOS,1.61,68021
Asus,Gaming,15.6,4K,Apple M1,32,1TB SSD,Nvidia GTX 1650,Windows 10,1.22,104020
Acer,Gaming,15.6,Full HD,Intel Core i5,16,1TB SSD,Nvidia GTX 1650,Windows 10,1.61,71493
MSI,Ultrabook,13.3,4K,Apple M2,16,256GB SSD,Nvidia RTX 3050,Windows 11,2.31,119087
MSI,Gaming,13.3,Retina,Intel Core i5,32,1TB SSD,Nvidia GTX 1650,Windows 11,2.28,66301
Lenovo,Notebook,14.0,4K,AMD Ryzen 7,32,1TB SSD,AMD Radeon,Windows 11,2.35,88556
Asus,Gaming,15.6,4K,AMD Ryzen 7,16,1TB SSD,Nvidia RTX 3050,Windows 11,1.38,105683
Dell,Gaming,16.0,Retina,AMD Ryzen 5,32,512GB SSD,AMD Radeon,macOS,1.44,48640
Asus,Workstation,16.0,Full HD,Intel Core i5,32,512GB SSD,Intel UHD,Windows 11,1.57,56892
Apple,Ultrabook,14.0,Full HD,Intel Core i7,16,1TB SSD,Nvidia RTX 3050,macOS,1.28,164139
Dell,Workstation,16.0,Full HD,Apple M1,8,256GB SSD,Nvidia GTX 1650,Linux,1.43,81336
Lenovo,Gaming,14.0,Retina,Intel Core i5,32,512GB SSD,AMD Radeon,Windows 11,1.4,50783
Lenovo,Ultrabook,15.6,Full HD,AMD Ryzen 5,16,1TB SSD,Nvidia GTX 1650,macOS,1.87,67147
Acer,Notebook,14.0,Retina,Intel Core i7,32,1TB SSD,Intel Iris,Windows 10,1.29,83562
MSI,Ultrabook,13.3,Retina,Intel Core i7,8,256GB SSD,Nvidia RTX 3050,Linux,2.1,77460
Apple,Gaming,16.0,4K,AMD Ryzen 5,8,512GB SSD,Intel Iris,macOS,1.95,92341
Acer,Workstation,13.3,4K,AMD Ryzen 7,32,1TB SSD,Nvidia GTX 1650,Linux,2.42,85751
HP,Ultrabook,14.0,Retina,Intel Core i7,16,512GB SSD,Nvidia RTX 3050,Windows 10,2.38,104311
Dell,Ultrabook,15.6,Full HD,Apple M2,32,256GB SSD,Nvidia RTX 3050,Windows 10,2.2,110456
Acer,Ultrabook,15.6,Full HD,Intel Core i7,16,1TB SSD,Intel Iris,macOS,1.45,87876
Apple,Notebook,15.6,4K,Intel Core i5,16,256GB SSD,Nvidia GTX 1650,macOS,2.13,119909
Acer,Gaming,16.0,4K,Intel Core i5,16,512GB SSD,Nvidia GTX 1650,Windows 11,2.46,61912
Dell,Workstation,15.6,Retina,AMD Ryzen 5,8,1TB SSD,Intel UHD,Windows 11,1.47,57750
Lenovo,Notebook,16.0,Retina,Apple M1,16,1TB SSD,Nvidia RTX 3050,Windows 11,1.62,124371
Asus,Workstation,14.0,Full HD,Apple M2,16,1TB SSD,Nvidia GTX 1650,macOS,1.82,100675
Apple,Notebook,14.0,4K,AMD Ryzen 7,8,256GB SSD,AMD Radeon,macOS,1.72,113317
Dell,Notebook,15.6,4K,Intel Core i7,8,1TB SSD,Intel UHD,Linux,2.0,72032
Dell,Ultrabook,14.0,Retina,AMD Ryzen 7,8,1TB SSD,AMD Radeon,Linux,1.91,68772
HP,Notebook,16.0,4K,AMD Ryzen 7,32,256GB SSD,Nvidia GTX 1650,Windows 10,2.08,80918
Asus,Workstation,16.0,Full HD,AMD Ryzen 5,8,256GB SSD,Nvidia GTX 1650,Linux,1.32,36843
Acer,Gaming,16.0,Full HD,AMD Ryzen 7,32,512GB SSD,Nvidia GTX 1650,Windows 10,1.41,82100
Dell,Workstation,15.6,Retina,Intel Core i7,8,256GB SSD,Intel UHD,macOS,1.3,54153
Lenovo,Ultrabook,16.0,Retina,Intel Core i5,32,512GB SSD,Nvidia RTX 3050,Linux,2.11,74541
Dell,Notebook,15.6,Full HD,AMD Ryzen 7,32,256GB SSD,Intel Iris,macOS,1.39,73029
Apple,Gaming,13.3,Full HD,AMD Ryzen 7,32,512GB SSD,Intel Iris,macOS,2.27,131011
Acer,Workstation,13.3,Full HD,Intel Core i7,32,512GB SSD,AMD Radeon,Windows 11,1.86,70218
Asus,Gaming,16.0,Full HD,AMD Ryzen 5,8,1TB SSD,Nvidia RTX 3050,macOS,1.53,71045
Lenovo,Ultrabook,15.6,Full HD,AMD Ryzen 5,8,1TB SSD,Intel Iris,Windows 10,2.15,48143
Dell,Ultrabook,15.6,Retina,AMD Ryzen 5,16,1TB SSD,Intel Iris,Linux,2.0,70822
Apple,Gaming,14.0,4K,Apple M1,32,512GB SSD,AMD Radeon,macOS,2.12,155499
Asus,Notebook,15.6,4K,Apple M1,16,256GB SSD,Nvidia RTX 3050,Windows 10,2.02,119308
HP,Ultrabook,14.0,Full HD,Intel Core i7,16,1TB SSD,Intel Iris,Windows 10,1.43,85948
HP,Workstation,14.0,4K,Apple M2,16,1TB SSD,Nvidia GTX 1650,Windows 10,1.71,107705
Lenovo,Notebook,15.6,4K,AMD Ryzen 7,16,512GB SSD,Intel Iris,Linux,2.37,79260
Asus,Notebook,13.3,Full HD,Apple M1,16,512GB SSD,Nvidia GTX 1650,macOS,2.36,83742
HP,Ultrabook,14.0,4K,Intel Core i5,16,256GB SSD,Intel UHD,Windows 10,1.51,57317
Asus,Notebook,16.0,Full HD,Intel Core i7,8,1TB SSD,Nvidia GTX 1650,Linux,1.5,64425
Dell,Workstation,13.3,Retina,AMD Ryzen 7,32,256GB SSD,AMD Radeon,macOS,1.76,75341
HP,Ultrabook,14.0,4K,Apple M2,8,1TB SSD,Intel Iris,Windows 10,2.08,87150
Asus,Workstation,14.0,4K,AMD Ryzen 7,32,1TB SSD,AMD Radeon,Windows 10,1.78,83182
Apple,Notebook,15.6,Full HD,AMD Ryzen 5,16,1TB SSD,Nvidia RTX 3050,macOS,1.72,150510
Apple,Notebook,14.0,Retina,Intel Core i7,8,512GB SSD,Nvidia RTX 3050,macOS,2.08,148279
Lenovo,Workstation,15.6,4K,AMD Ryzen 7,16,256GB SSD,Nvidia GTX 1650,Windows 11,1.82,78682
MSI,Gaming,15.6,Retina,Intel Core i5,16,256GB SSD,Nvidia GTX 1650,Windows 10,1.36,52931
Asus,Ultrabook,16.0,Full HD,Intel Core i5,16,512GB SSD,AMD Radeon,Linux,2.34,50734
Acer,Ultrabook,14.0,4K,Apple M2,32,256GB SSD,AMD Radeon,Linux,1.85,85746
HP,Workstation,16.0,Retina,Apple M1,8,512GB SSD,Nvidia GTX 1650,macOS,1.7,79469
Dell,Ultrabook,15.6,Retina,Intel Core i7,32,512GB SSD,AMD Radeon,Windows 11,2.45,68130
MSI,Ultrabook,16.0,Full HD,Intel Core i7,8,256GB SSD,Intel UHD,macOS,2.3,59471
Apple,Gaming,15.6,4K,Apple M2,16,512GB SSD,AMD Radeon,macOS,2.05,151747
HP,Gaming,13.3,Full HD,Intel Core i7,16,256GB SSD,Nvidia GTX 1650,macOS,2.37,77415
Lenovo,Gaming,16.0,Retina,AMD Ryzen 5,32,512GB SSD,Nvidia GTX 1650,Linux,1.95,57860
Lenovo,Gaming,15.6,4K,Apple M1,32,256GB SSD,Intel UHD,macOS,1.76,89407
Dell,Ultrabook,13.3,Full HD,AMD Ryzen 5,16,1TB SSD,Nvidia RTX 3050,Windows 10,2.29,85013
HP,Ultrabook,13.3,Full HD,AMD Ryzen 7,8,512GB SSD,Intel Iris,Windows 10,2.44,55305
Lenovo,Workstation,13.3,Retina,AMD Ryzen 7,32,512GB SSD,Nvidia GTX 1650,macOS,2.08,79329
HP,Gaming,13.3,Full HD,AMD Ryzen 5,8,256GB SSD,Nvidia RTX 3050,Linux,1.68,69475
Acer,Notebook,14.0,4K,Intel Core i7,16,1TB SSD,Nvidia RTX 3050,Windows 10,1.97,108237
Lenovo,Ultrabook,16.0,Retina,AMD Ryzen 7,16,512GB SSD,Nvidia RTX 3050,macOS,1.73,101761
Acer,Gaming,15.6,Full HD,Intel Core i5,16,512GB SSD,Intel UHD,Windows 10,1.48,47134
Acer,Notebook,13.3,Full HD,Apple M2,8,512GB SSD,Intel Iris,macOS,2.45,77796
Apple,Ultrabook,15.6,Full HD,Apple M2,8,1TB SSD,Nvidia GTX 1650,macOS,1.83,139488
Lenovo,Workstation,13.3,Full HD,AMD Ryzen 7,8,512GB SSD,AMD Radeon,Linux,2.16,54910
MSI,Gaming,13.3,Full HD,AMD Ryzen 7,16,256GB SSD,Intel UHD,Linux,1.98,78514
Asus,Notebook,14.0,Full HD,Intel Core i5,8,1TB SSD,Intel Iris,Windows 10,1.6,45000
Acer,Workstation,13.3,Full HD,Apple M2,16,1TB SSD,Intel Iris,macOS,2.3,103464
MSI,Ultrabook,14.0,Full HD,AMD Ryzen 7,8,256GB SSD,Nvidia GTX 1650,Linux,1.71,65425
Lenovo,Notebook,14.0,Full HD,AMD Ryzen 5,32,1TB SSD,AMD Radeon,Windows 11,2.22,68393
HP,Notebook,14.0,Full HD,AMD Ryzen 7,16,256GB SSD,Intel UHD,Windows 11,1.23,69472
Dell,Workstation,16.0,Retina,AMD Ryzen 5,32,1TB SSD,Nvidia GTX 1650,Windows 11,2.19,70340
Acer,Gaming,15.6,Retina,Apple M1,8,256GB SSD,Intel Iris,Windows 11,2.28,71821
HP,Gaming,14.0,Retina,Apple M2,8,1TB SSD,Nvidia GTX 1650,macOS,1.2,91739
HP,Gaming,16.0,Full HD,Apple M1,16,256GB SSD,Nvidia GTX 1650,Windows 10,2.4,95576
MSI,Workstation,16.0,Retina,AMD Ryzen 5,8,1TB SSD,Intel UHD,Windows 11,1.57,55970
MSI,Notebook,14.0,4K,AMD Ryzen 5,32,256GB SSD,Nvidia RTX 3050,Windows 10,2.13,87617
Acer,Notebook,13.3,4K,AMD Ryzen 5,32,512GB SSD,Intel UHD,macOS,1.69,61043
MSI,Notebook,16.0,4K,Intel Core i5,32,1TB SSD,AMD Radeon,macOS,2.0,61213
Lenovo,Notebook,14.0,4K,AMD Ryzen 5,16,512GB SSD,Intel UHD,Windows 10,1.73,61327
Acer,Ultrabook,14.0,Full HD,AMD Ryzen 5,32,256GB SSD,Nvidia GTX 1650,Linux,1.54,54797
Acer,Workstation,16.0,Full HD,Intel Core i5,32,512GB SSD,Intel UHD,macOS,1.61,58393
Asus,Ultrabook,16.0,4K,Intel Core i5,8,1TB SSD,AMD Radeon,Linux,1.77,54256
Acer,Workstation,16.0,4K,Apple M1,16,512GB SSD,Nvidia GTX 1650,Windows 10,1.47,90435
Dell,Workstation,14.0,Retina,Intel Core i7,32,256GB SSD,Intel Iris,Windows 10,2.35,82157
Acer,Workstation,14.0,4K,Apple M2,8,512GB SSD,Intel UHD,Windows 10,1.33,72937
Apple,Workstation,13.3,Full HD,Intel Core i7,8,1TB SSD,Intel UHD,macOS,1.63,138210
HP,Gaming,13.3,4K,Apple M2,8,256GB SSD,Nvidia GTX 1650,Linux,1.73,80442
MSI,Workstation,15.6,4K,AMD Ryzen 7,16,512GB SSD,Intel Iris,Linux,2.3,76296
HP,Workstation,16.0,4K,Intel Core i5,16,1TB SSD,Nvidia RTX 3050,Windows 11,2.22,89694
Apple,Notebook,14.0,Retina,Intel Core i5,8,1TB SSD,Intel Iris,macOS,2.38,112182
MSI,Workstation,16.0,Retina,Intel Core i7,8,512GB SSD,Nvidia GTX 1650,macOS,2.29,67043
Lenovo,Workstation,14.0,Retina,Apple M1,32,1TB SSD,Intel Iris,Linux,2.43,98787
MSI,Ultrabook,15.6,Retina,Intel Core i5,32,1TB SSD,Nvidia GTX 1650,Windows 11,2.49,68924
Apple,Workstation,13.3,Retina,Apple M1,32,1TB SSD,Intel Iris,macOS,2.43,159299
Asus,Notebook,13.3,4K,Apple M1,32,512GB SSD,Intel Iris,Windows 10,1.78,86446
HP,Notebook,16.0,4K,AMD Ryzen 7,32,512GB SSD,AMD Radeon,Windows 10,2.18,70763
Lenovo,Gaming,16.0,4K,Intel Core i5,32,512GB SSD,Intel Iris,macOS,1.76,48799
Dell,Gaming,13.3,4K,Apple M1,8,1TB SSD,Nvidia GTX 1650,macOS,2.39,89160
MSI,Notebook,15.6,Retina,Apple M2,16,512GB SSD,AMD Radeon,Linux,1.41,97106
Dell,Notebook,14.0,Full HD,Apple M2,16,256GB SSD,AMD Radeon,Linux,1.47,83437
Lenovo,Workstation,16.0,Retina,Intel Core i7,16,1TB SSD,AMD Radeon,Windows 11,1.28,84856
HP,Ultrabook,15.6,Full HD,Apple M2,32,1TB SSD,Intel Iris,Windows 11,1.84,102166
MSI,Gaming,16.0,Retina,AMD Ryzen 7,16,512GB SSD,Intel Iris,Linux,1.65,75104
Asus,Ultrabook,15.6,Full HD,Intel Core i7,32,256GB SSD,Nvidia GTX 1650,Linux,1.64,73079
MSI,Workstation,13.3,4K,Apple M1,16,256GB SSD,Intel UHD,macOS,2.27,89106
Dell,Ultrabook,16.0,Full HD,Intel Core i5,8,1TB SSD,AMD Radeon,macOS,2.04,50490
Acer,Notebook,16.0,Retina,Apple M2,32,256GB SSD,Intel UHD,Windows 10,1.32,97012
HP,Ultrabook,13.3,4K,Intel Core i5,32,256GB SSD,Intel UHD,Linux,2.29,60367
MSI,Gaming,16.0,Retina,AMD Ryzen 5,8,512GB SSD,AMD Radeon,Windows 10,1.81,34027
MSI,Workstation,14.0,4K,Intel Core i7,32,1TB SSD,Intel Iris,Windows 10,1.56,80749
Lenovo,Workstation,13.3,Full HD,AMD Ryzen 7,8,512GB SSD,Intel Iris,Windows 10,1.52,58626
Acer,Notebook,15.6,Full HD,AMD Ryzen 7,16,1TB SSD,Nvidia GTX 1650,macOS,1.73,90457
Dell,Workstation,14.0,Full HD,Apple M1,8,256GB SSD,Intel Iris,Linux,2.15,69425
Dell,Gaming,15.6,Retina,AMD Ryzen 5,8,1TB SSD,Intel Iris,macOS,1.59,55292
Asus,Ultrabook,15.6,Retina,Intel Core i7,16,512GB SSD,Intel Iris,macOS,1.23,77647
Acer,Gaming,15.6,Full HD,AMD Ryzen 5,8,256GB SSD,Nvidia GTX 1650,Windows 11,1.32,44143
Apple,Notebook,16.0,4K,Intel Core i7,16,1TB SSD,Nvidia RTX 3050,macOS,2.09,174174
Dell,Ultrabook,13.3,Full HD,AMD Ryzen 5,16,256GB SSD,AMD Radeon,Linux,2.46,59422
MSI,Ultrabook,14.0,Retina,Intel Core i7,16,256GB SSD,Nvidia RTX 3050,Linux,1.53,106747
Dell,Ultrabook,16.0,Retina,AMD Ryzen 7,16,256GB SSD,Nvidia GTX 1650,Windows 11,2.27,81390
Asus,Ultrabook,13.3,4K,Intel Core i5,16,256GB SSD,Intel Iris,Windows 11,2.33,50299
Apple,Workstation,13.3,Full HD,Apple M1,32,512GB SSD,Nvidia RTX 3050,macOS,1.42,180848
Dell,Gaming,13.3,4K,Apple M1,16,256GB SSD,AMD Radeon,Windows 10,1.47,97083
Dell,Workstation,14.0,4K,Intel Core i7,16,256GB SSD,Nvidia RTX 3050,Linux,1.81,94231
Apple,Gaming,16.0,Full HD,Intel Core i5,8,256GB SSD,Intel UHD,macOS,1.53,106496
MSI,Gaming,14.0,4K,Apple M2,32,256GB SSD,Intel Iris,Windows 10,1.37,83764
Apple,Notebook,14.0,Full HD,AMD Ryzen 5,8,1TB SSD,Nvidia GTX 1650,macOS,1.56,113735
Apple,Gaming,16.0,4K,AMD Ryzen 7,32,1TB SSD,Intel Iris,macOS,1.25,150976
HP,Notebook,15.6,Retina,Intel Core i5,8,512GB SSD,Nvidia GTX 1650,Windows 11,1.93,41255
Dell,Notebook,16.0,Retina,AMD Ryzen 7,32,512GB SSD,Nvidia RTX 3050,Linux,2.17,102162
Lenovo,Notebook,14.0,Retina,AMD Ryzen 7,16,256GB SSD,Intel UHD,Windows 10,1.35,81828
HP,Ultrabook,13.3,Retina,Intel Core i7,16,512GB SSD,Intel UHD,Linux,1.27,67427
HP,Workstation,14.0,Retina,Apple M2,16,256GB SSD,Intel UHD,Linux,1.5,95216
Dell,Gaming,15.6,4K,Apple M2,8,512GB SSD,Nvidia RTX 3050,Linux,2.38,107108
Dell,Notebook,15.6,Retina,Apple M1,32,512GB SSD,Intel UHD,Windows 10,2.48,84341
Dell,Workstation,13.3,Full HD,Apple M2,8,512GB SSD,Nvidia GTX 1650,Windows 10,2.05,78177
Lenovo,Workstation,16.0,Full HD,Apple M1,16,1TB SSD,AMD Radeon,Windows 10,1.74,106217
Apple,Workstation,15.6,Full HD,Intel Core i7,8,512GB SSD,AMD Radeon,macOS,1.74,121760
HP,Gaming,14.0,4K,Apple M1,32,1TB SSD,Nvidia RTX 3050,macOS,1.86,129149
HP,Ultrabook,14.0,Full HD,Apple M2,16,256GB SSD,Intel Iris,macOS,1.47,91775
HP,Notebook,14.0,Full HD,Intel Core i7,8,512GB SSD,Intel Iris,Windows 11,2.27,66603
Asus,Ultrabook,14.0,Full HD,Intel Core i7,16,1TB SSD,Nvidia GTX 1650,Linux,1.62,83323
Apple,Gaming,14.0,4K,Apple M2,8,1TB SSD,AMD Radeon,macOS,1.86,154569
Acer,Gaming,16.0,Retina,AMD Ryzen 5,32,256GB SSD,Intel Iris,Linux,1.77,56954
Acer,Notebook,15.6,4K,Apple M2,16,512GB SSD,Intel UHD,Windows 10,2.03,97241
Acer,Ultrabook,16.0,4K,Apple M1,8,512GB SSD,Nvidia GTX 1650,Linux,1.56,67329
HP,Workstation,13.3,4K,AMD Ryzen 5,32,512GB SSD,Nvidia GTX 1650,Windows 11,1.64,56843
Asus,Ultrabook,14.0,Full HD,Apple M1,16,256GB SSD,Intel UHD,Windows 11,1.89,92282
Asus,Workstation,13.3,Full HD,Apple M2,32,512GB SSD,AMD Radeon,Windows 10,2.05,95938
Asus,Gaming,15.6,4K,Intel Core i5,8,256GB SSD,Intel UHD,Windows 11,1.31,34399
Asus,Notebook,15.6,4K,AMD Ryzen 5,32,256GB SSD,Nvidia GTX 1650,macOS,1.36,49022
HP,Ultrabook,13.3,4K,Intel Core i7,8,512GB SSD,Intel Iris,Linux,1.73,59206
MSI,Ultrabook,15.6,Full HD,AMD Ryzen 5,32,1TB SSD,Nvidia GTX 1650,macOS,2.33,69351
Dell,Notebook,16.0,Full HD,Apple M2,32,256GB SSD,Intel UHD,Linux,1.34,93381
Acer,Ultrabook,15.6,Full HD,AMD Ryzen 7,32,1TB SSD,Intel UHD,macOS,1.69,91019
Apple,Ultrabook,14.0,4K,Apple M2,16,1TB SSD,Nvidia GTX 1650,macOS,1.99,165252
HP,Gaming,13.3,Retina,Apple M1,8,1TB SSD,AMD Radeon,macOS,2.3,86297
Asus,Notebook,14.0,Retina,Intel Core i7,32,512GB SSD,AMD Radeon,Windows 11,1.46,68732
Dell,Workstation,13.3,Full HD,Apple M1,16,1TB SSD,Nvidia GTX 1650,Windows 11,1.89,97716
Dell,Ultrabook,13.3,Full HD,AMD Ryzen 5,16,256GB SSD,AMD Radeon,Windows 11,1.94,48605
HP,Ultrabook,14.0,Retina,Intel Core i7,16,512GB SSD,Nvidia RTX 3050,macOS,1.54,104256
MSI,Ultrabook,13.3,Retina,Intel Core i7,8,256GB SSD,Nvidia RTX 3050,Windows 11,1.71,91118
